eventid,timestamp,src_ip,dst_ip,session,duration
cowrie.login.success,2021-02-12 11:03:04.216399+00:00,46.101.170.78,,cce20dc708e8,
cowrie.login.success,2021-02-12 11:03:04.218411+00:00,46.101.170.78,,699ec31c16b1,
cowrie.login.success,2021-02-12 11:03:04.220116+00:00,46.101.170.78,,50a1710da928,
cowrie.login.success,2021-02-12 11:03:04.221942+00:00,46.101.170.78,,245d647c50d7,
cowrie.login.success,2021-02-12 11:03:04.223761+00:00,46.101.170.78,,512d3db61679,
cowrie.login.success,2021-02-12 11:03:04.225598+00:00,46.101.170.78,,d05de82095ee,
cowrie.login.success,2021-02-12 11:03:04.299071+00:00,46.101.170.78,,8de64e11eff4,
cowrie.login.success,2021-02-12 11:03:04.302866+00:00,46.101.170.78,,724be802578d,
cowrie.login.success,2021-02-12 11:03:04.304941+00:00,46.101.170.78,,c1d1903651aa,
cowrie.login.success,2021-02-12 11:03:04.314477+00:00,46.101.170.78,,32b9b9296860,
cowrie.session.params,2021-02-12 11:03:04.395087+00:00,46.101.170.78,,ee5a71984425,
cowrie.command.input,2021-02-12 11:03:04.396006+00:00,46.101.170.78,,ee5a71984425,
cowrie.session.params,2021-02-12 11:03:04.899518+00:00,46.101.170.78,,f5340c2af215,
cowrie.command.input,2021-02-12 11:03:04.900385+00:00,46.101.170.78,,f5340c2af215,
cowrie.session.params,2021-02-12 11:03:05.009884+00:00,46.101.170.78,,673e50040790,
cowrie.command.input,2021-02-12 11:03:05.010748+00:00,46.101.170.78,,673e50040790,
cowrie.session.params,2021-02-12 11:03:05.050378+00:00,46.101.170.78,,5502e0f67ab6,
cowrie.command.input,2021-02-12 11:03:05.051228+00:00,46.101.170.78,,5502e0f67ab6,
cowrie.session.params,2021-02-12 11:03:05.199834+00:00,46.101.170.78,,cce20dc708e8,
cowrie.command.input,2021-02-12 11:03:05.200750+00:00,46.101.170.78,,cce20dc708e8,
cowrie.session.params,2021-02-12 11:03:05.240194+00:00,46.101.170.78,,17e4251c67c1,
cowrie.command.input,2021-02-12 11:03:05.241046+00:00,46.101.170.78,,17e4251c67c1,
cowrie.session.params,2021-02-12 11:03:05.463388+00:00,46.101.170.78,,7c4516690ed9,
cowrie.command.input,2021-02-12 11:03:05.464268+00:00,46.101.170.78,,7c4516690ed9,
cowrie.session.params,2021-02-12 11:03:05.504262+00:00,46.101.170.78,,699ec31c16b1,
